date,confirmed,deaths,zone,altitude,lat,lon
2020-03-19,194,1900-01-02,ZONA CENTRO,162,-120.453,-770.308
2020-03-20,212,1900-01-03,ZONA CENTRO,162,-120.453,-770.308
2020-03-21,241,1900-01-03,ZONA CENTRO,162,-120.453,-770.308
2020-03-21,18,1899-12-31,ZONA NORTE,57,-51.525,-806.578
2020-03-22,278,1900-01-03,ZONA CENTRO,162,-120.453,-770.308
2020-03-22,19,1899-12-31,ZONA NORTE,57,-51.525,-806.578
2020-03-23,307,1900-01-03,ZONA CENTRO,162,-120.453,-770.308
2020-03-23,19,1899-12-31,ZONA NORTE,57,-51.525,-806.578
2020-03-24,5,1899-12-31,ZONA NORTE,74,-8.1,-790.306
2020-03-24,322,1900-01-04,ZONA CENTRO,162,-120.453,-770.308
2020-03-24,19,1899-12-31,ZONA NORTE,57,-51.525,-806.578
2020-03-25,10,1899-12-31,ZONA SUR,3439,-135.192,-719.767
2020-03-25,6,1899-12-31,ZONA NORTE,74,-8.1,-790.306
2020-03-25,369,1900-01-05,ZONA CENTRO,162,-120.453,-770.308
2020-03-25,19,1899-12-31,ZONA NORTE,57,-51.525,-806.578
2020-03-26,10,1899-12-31,ZONA SUR,3439,-135.192,-719.767
2020-03-26,9,1899-12-31,ZONA NORTE,74,-8.1,-790.306
2020-03-26,453,1900-01-05,ZONA CENTRO,162,-120.453,-770.308
2020-03-26,20,1899-12-31,ZONA NORTE,57,-51.525,-806.578
2020-03-27,10,1899-12-31,ZONA SUR,3439,-135.192,-719.767
2020-03-27,9,1900-01-01,ZONA NORTE,74,-8.1,-790.306
2020-03-27,494,1900-01-06,ZONA CENTRO,162,-120.453,-770.308
2020-03-27,20,1899-12-31,ZONA NORTE,57,-51.525,-806.578
2020-03-28,18,1899-12-31,ZONA CENTRO,27,-120.631,-771.469
2020-03-28,11,1900-01-01,ZONA SUR,3439,-135.192,-719.767
2020-03-28,10,1900-01-01,ZONA NORTE,74,-8.1,-790.306
2020-03-28,15,1899-12-31,ZONA NORTE,28,-67.669,-798.506
2020-03-28,518,1900-01-08,ZONA CENTRO,162,-120.453,-770.308
2020-03-28,20,1899-12-31,ZONA NORTE,57,-51.525,-806.578
2020-03-29,6,1899-12-31,ZONA CENTRO,3073,-95.297,-775.292
2020-03-29,29,1899-12-31,ZONA CENTRO,27,-120.631,-771.469
2020-03-29,17,1900-01-01,ZONA SUR,3439,-135.192,-719.767
2020-03-29,13,1900-01-01,ZONA NORTE,74,-8.1,-790.306
2020-03-29,22,1899-12-31,ZONA NORTE,28,-67.669,-798.506
2020-03-29,639,1900-01-09,ZONA CENTRO,162,-120.453,-770.308
2020-03-29,21,1899-12-31,ZONA NORTE,57,-51.525,-806.578
2020-03-30,11,1899-12-31,ZONA CENTRO,3073,-95.297,-775.292
2020-03-30,24,1900-01-01,ZONA CENTRO,27,-120.631,-771.469
2020-03-30,25,1900-01-01,ZONA SUR,3439,-135.192,-719.767
2020-03-30,15,1900-01-01,ZONA NORTE,74,-8.1,-790.306
2020-03-30,22,1899-12-31,ZONA NORTE,28,-67.669,-798.506
2020-03-30,718,1900-01-12,ZONA CENTRO,162,-120.453,-770.308
2020-03-30,53,1900-01-01,ZONA NORTE,107,-37.481,-732.442
2020-03-30,21,1899-12-31,ZONA NORTE,57,-51.525,-806.578
2020-03-31,11,1899-12-31,ZONA CENTRO,3073,-95.297,-775.292
2020-03-31,25,1900-01-02,ZONA CENTRO,27,-120.631,-771.469
2020-03-31,26,1900-01-01,ZONA SUR,3439,-135.192,-719.767
2020-03-31,19,1900-01-01,ZONA NORTE,74,-8.1,-790.306
2020-03-31,30,1899-12-31,ZONA NORTE,28,-67.669,-798.506
2020-03-31,799,1900-01-15,ZONA CENTRO,162,-120.453,-770.308
2020-03-31,58,1900-01-01,ZONA NORTE,107,-37.481,-732.442
2020-03-31,21,1899-12-31,ZONA NORTE,57,-51.525,-806.578
2020-03-31,6,1899-12-31,ZONA NORTE,895,-60.347,-769.742
2020-03-31,10,1899-12-31,ZONA NORTE,9,-35.711,-804.592
2020-04-01,15,1899-12-31,ZONA CENTRO,3073,-95.297,-775.292
2020-04-01,30,1899-12-31,ZONA SUR,2429,-163.933,-715.289
2020-04-01,37,1900-01-03,ZONA CENTRO,27,-120.631,-771.469
2020-04-01,34,1900-01-01,ZONA SUR,3439,-135.192,-719.767
2020-04-01,32,1900-01-02,ZONA NORTE,74,-8.1,-790.306
2020-04-01,34,1900-01-02,ZONA NORTE,28,-67.669,-798.506
2020-04-01,990,1900-01-27,ZONA CENTRO,162,-120.453,-770.308
2020-04-01,66,1900-01-01,ZONA NORTE,107,-37.481,-732.442
2020-04-01,26,1899-12-31,ZONA NORTE,57,-51.525,-806.578
2020-04-01,6,1899-12-31,ZONA NORTE,895,-60.347,-769.742
2020-04-01,13,1899-12-31,ZONA NORTE,9,-35.711,-804.592
2020-04-02,15,1899-12-31,ZONA CENTRO,3073,-95.297,-775.292
2020-04-02,30,1899-12-31,ZONA SUR,2429,-163.933,-715.289
2020-04-02,40,1900-01-03,ZONA CENTRO,27,-120.631,-771.469
2020-04-02,38,1900-01-01,ZONA SUR,3439,-135.192,-719.767
2020-04-02,17,1899-12-31,ZONA CENTRO,3294,-120.708,-752.089
2020-04-02,34,1900-01-02,ZONA NORTE,74,-8.1,-790.306
2020-04-02,37,1900-01-02,ZONA NORTE,28,-67.669,-798.506
2020-04-02,1059,1900-02-02,ZONA CENTRO,162,-120.453,-770.308
2020-04-02,72,1900-01-01,ZONA NORTE,107,-37.481,-732.442
2020-04-02,27,1899-12-31,ZONA NORTE,57,-51.525,-806.578
2020-04-02,6,1899-12-31,ZONA NORTE,895,-60.347,-769.742
2020-04-02,15,1900-01-01,ZONA NORTE,9,-35.711,-804.592
2020-04-03,18,1899-12-31,ZONA CENTRO,3073,-95.297,-775.292
2020-04-03,37,1899-12-31,ZONA SUR,2429,-163.933,-715.289
2020-04-03,59,1900-01-03,ZONA CENTRO,27,-120.631,-771.469
2020-04-03,44,1900-01-02,ZONA SUR,3439,-135.192,-719.767
2020-04-03,19,1899-12-31,ZONA CENTRO,3294,-120.708,-752.089
2020-04-03,44,1900-01-03,ZONA NORTE,74,-8.1,-790.306
2020-04-03,35,1900-01-01,ZONA NORTE,28,-67.669,-798.506
2020-04-03,1179,1900-02-07,ZONA CENTRO,162,-120.453,-770.308
2020-04-03,84,1900-01-01,ZONA NORTE,107,-37.481,-732.442
2020-04-03,27,1899-12-31,ZONA NORTE,57,-51.525,-806.578
2020-04-03,6,1899-12-31,ZONA NORTE,895,-60.347,-769.742
2020-04-03,16,1900-01-01,ZONA NORTE,9,-35.711,-804.592
2020-04-04,18,1899-12-31,ZONA CENTRO,3073,-95.297,-775.292
2020-04-04,37,1900-01-01,ZONA SUR,2429,-163.933,-715.289
2020-04-04,64,1900-01-04,ZONA CENTRO,27,-120.631,-771.469
2020-04-04,48,1900-01-02,ZONA SUR,3439,-135.192,-719.767
2020-04-04,9,1899-12-31,ZONA SUR,432,-140.636,-757.292
2020-04-04,25,1899-12-31,ZONA CENTRO,3294,-120.708,-752.089
2020-04-04,50,1900-01-03,ZONA NORTE,74,-8.1,-790.306
2020-04-04,55,1900-01-02,ZONA NORTE,28,-67.669,-798.506
2020-04-04,1257,1900-02-14,ZONA CENTRO,162,-120.453,-770.308
2020-04-04,106,1900-01-01,ZONA NORTE,107,-37.481,-732.442
2020-04-04,27,1899-12-31,ZONA NORTE,57,-51.525,-806.578
2020-04-04,8,1899-12-31,ZONA NORTE,895,-60.347,-769.742
2020-04-04,20,1900-01-02,ZONA NORTE,9,-35.711,-804.592
2020-04-05,23,1899-12-31,ZONA CENTRO,3073,-95.297,-775.292
2020-04-05,51,1900-01-02,ZONA SUR,2429,-163.933,-715.289
2020-04-05,89,1900-01-07,ZONA CENTRO,27,-120.631,-771.469
2020-04-05,52,1900-01-02,ZONA SUR,3439,-135.192,-719.767
2020-04-05,1,1899-12-31,ZONA SUR,3746,-127.869,-749.714
2020-04-05,14,1899-12-31,ZONA SUR,432,-140.636,-757.292
2020-04-05,25,1899-12-31,ZONA CENTRO,3294,-120.708,-752.089
2020-04-05,50,1900-01-03,ZONA NORTE,74,-8.1,-790.306
2020-04-05,100,1900-01-02,ZONA NORTE,28,-67.669,-798.506
2020-04-05,1639,1900-02-19,ZONA CENTRO,162,-120.453,-770.308
2020-04-05,143,1900-01-01,ZONA NORTE,107,-37.481,-732.442
2020-04-05,29,1899-12-31,ZONA NORTE,57,-51.525,-806.578
2020-04-05,8,1899-12-31,ZONA NORTE,895,-60.347,-769.742
2020-04-05,26,1900-01-02,ZONA NORTE,9,-35.711,-804.592
2020-04-06,27,1899-12-31,ZONA CENTRO,3073,-95.297,-775.292
2020-04-06,60,1900-01-03,ZONA SUR,2429,-163.933,-715.289
2020-04-06,109,1900-01-07,ZONA CENTRO,27,-120.631,-771.469
2020-04-06,54,1900-01-02,ZONA SUR,3439,-135.192,-719.767
2020-04-06,2,1899-12-31,ZONA SUR,3746,-127.869,-749.714
2020-04-06,18,1899-12-31,ZONA SUR,432,-140.636,-757.292
2020-04-06,28,1899-12-31,ZONA CENTRO,3294,-120.708,-752.089
2020-04-06,56,1900-01-04,ZONA NORTE,74,-8.1,-790.306
2020-04-06,100,1900-01-02,ZONA NORTE,28,-67.669,-798.506
2020-04-06,1837,1900-02-26,ZONA CENTRO,162,-120.453,-770.308
2020-04-06,171,1900-01-01,ZONA NORTE,107,-37.481,-732.442
2020-04-06,30,1899-12-31,ZONA NORTE,57,-51.525,-806.578
2020-04-06,8,1899-12-31,ZONA NORTE,895,-60.347,-769.742
2020-04-06,26,1900-01-02,ZONA NORTE,9,-35.711,-804.592
2020-04-07,36,1899-12-31,ZONA CENTRO,3073,-95.297,-775.292
2020-04-07,66,1900-01-03,ZONA SUR,2429,-163.933,-715.289
2020-04-07,161,1900-01-09,ZONA CENTRO,27,-120.631,-771.469
2020-04-07,54,1900-01-02,ZONA SUR,3439,-135.192,-719.767
2020-04-07,7,1899-12-31,ZONA SUR,3746,-127.869,-749.714
2020-04-07,24,1900-01-01,ZONA SUR,432,-140.636,-757.292
2020-04-07,28,1899-12-31,ZONA CENTRO,3294,-120.708,-752.089
2020-04-07,58,1900-01-04,ZONA NORTE,74,-8.1,-790.306
2020-04-07,108,1900-01-03,ZONA NORTE,28,-67.669,-798.506
2020-04-07,2100,1900-03-05,ZONA CENTRO,162,-120.453,-770.308
2020-04-07,206,1900-01-02,ZONA NORTE,107,-37.481,-732.442
2020-04-07,35,1900-01-02,ZONA NORTE,57,-51.525,-806.578
2020-04-07,8,1899-12-31,ZONA NORTE,895,-60.347,-769.742
2020-04-07,27,1900-01-03,ZONA NORTE,9,-35.711,-804.592
2020-04-08,50,1900-01-03,ZONA CENTRO,3073,-95.297,-775.292
2020-04-08,74,1900-01-04,ZONA SUR,2429,-163.933,-715.289
2020-04-08,320,1900-01-01,ZONA CENTRO,27,-120.631,-771.469
2020-04-08,54,1900-01-02,ZONA SUR,3439,-135.192,-719.767
2020-04-08,7,1899-12-31,ZONA SUR,3746,-127.869,-749.714
2020-04-08,28,1900-01-02,ZONA SUR,432,-140.636,-757.292
2020-04-08,42,1900-01-02,ZONA CENTRO,3294,-120.708,-752.089
2020-04-08,82,1900-01-04,ZONA NORTE,74,-8.1,-790.306
2020-04-08,246,1900-01-03,ZONA NORTE,28,-67.669,-798.506
2020-04-08,3016,1900-03-12,ZONA CENTRO,162,-120.453,-770.308
2020-04-08,290,1900-01-12,ZONA NORTE,107,-37.481,-732.442
2020-04-08,41,1899-12-31,ZONA NORTE,57,-51.525,-806.578
2020-04-08,11,1899-12-31,ZONA NORTE,895,-60.347,-769.742
2020-04-08,27,1900-01-03,ZONA NORTE,9,-35.711,-804.592
2020-04-09,57,1900-01-03,ZONA CENTRO,3073,-95.297,-775.292
2020-04-09,77,1900-01-03,ZONA SUR,2429,-163.933,-715.289
2020-04-09,413,1900-01-15,ZONA CENTRO,27,-120.631,-771.469
2020-04-09,55,1900-01-02,ZONA SUR,3439,-135.192,-719.767
2020-04-09,7,1899-12-31,ZONA SUR,3746,-127.869,-749.714
2020-04-09,34,1900-01-01,ZONA SUR,432,-140.636,-757.292
2020-04-09,42,1899-12-31,ZONA CENTRO,3294,-120.708,-752.089
2020-04-09,96,1900-01-05,ZONA NORTE,74,-8.1,-790.306
2020-04-09,302,1900-01-05,ZONA NORTE,28,-67.669,-798.506
2020-04-09,3704,1900-03-22,ZONA CENTRO,162,-120.453,-770.308
2020-04-09,315,1900-01-04,ZONA NORTE,107,-37.481,-732.442
2020-04-09,53,1900-01-02,ZONA NORTE,57,-51.525,-806.578
