region,region_orig,date,confirmed,deaths
15,15,3/19/2020,194,3
15,15,3/20/2020,212,4
15,15,3/21/2020,241,4
20,20,3/21/2020,18,1
15,15,3/22/2020,278,4
20,20,3/22/2020,19,1
15,15,3/23/2020,307,4
20,20,3/23/2020,19,1
13,13,3/24/2020,5,1
15,15,3/24/2020,322,5
20,20,3/24/2020,19,1
8,8,3/25/2020,10,1
13,13,3/25/2020,6,1
15,15,3/25/2020,369,6
20,20,3/25/2020,19,1
8,8,3/26/2020,10,1
13,13,3/26/2020,9,1
15,15,3/26/2020,453,6
20,20,3/26/2020,20,1
8,8,3/27/2020,10,1
13,13,3/27/2020,9,2
15,15,3/27/2020,494,7
20,20,3/27/2020,20,1
7,7,3/28/2020,18,1
8,8,3/28/2020,11,2
13,13,3/28/2020,10,2
14,14,3/28/2020,15,1
15,15,3/28/2020,518,9
20,20,3/28/2020,20,1
2,2,3/29/2020,6,1
7,7,3/29/2020,29,1
8,8,3/29/2020,17,2
13,13,3/29/2020,13,2
14,14,3/29/2020,22,1
15,15,3/29/2020,639,10
20,20,3/29/2020,21,1
2,2,3/30/2020,11,1
13,13,3/31/2020,19,2
14,14,3/31/2020,30,1
15,15,3/31/2020,799,16
16,16,3/31/2020,58,2
20,20,3/31/2020,21,1
22,22,3/31/2020,6,1
24,24,3/31/2020,10,1
2,2,4/1/2020,15,1
4,4,4/1/2020,30,1
7,7,4/1/2020,37,4
8,8,4/1/2020,34,2
13,13,4/1/2020,32,3
14,14,4/1/2020,34,3
15,15,4/1/2020,990,28
16,16,4/1/2020,66,2
20,20,4/1/2020,26,1
22,22,4/1/2020,6,1
24,24,4/1/2020,13,1
2,2,4/2/2020,15,1
4,4,4/2/2020,30,1
7,7,4/2/2020,40,4
8,8,4/2/2020,38,2
12,12,4/2/2020,17,1
13,13,4/2/2020,34,3
14,14,4/2/2020,37,3
15,15,4/2/2020,1059,34
16,16,4/2/2020,72,2
20,20,4/2/2020,27,1
22,22,4/2/2020,6,1
24,24,4/2/2020,15,2
2,2,4/3/2020,18,1
4,4,4/3/2020,37,1
7,7,4/3/2020,59,4
8,8,4/3/2020,44,3
12,12,4/3/2020,19,1
13,13,4/3/2020,44,4
14,14,4/3/2020,35,2
15,15,4/3/2020,1179,39
16,16,4/3/2020,84,2
20,20,4/3/2020,27,1
22,22,4/3/2020,6,1
24,24,4/3/2020,16,2
2,2,4/4/2020,18,1
4,4,4/4/2020,37,2
7,7,4/4/2020,64,5
8,8,4/4/2020,48,3
11,11,4/4/2020,9,1
12,12,4/4/2020,25,1
13,13,4/4/2020,50,4
14,14,4/4/2020,55,3
15,15,4/4/2020,1257,46
16,16,4/4/2020,106,2
20,20,4/4/2020,27,1
22,22,4/4/2020,8,1
24,24,4/4/2020,20,3
2,2,4/5/2020,23,1
4,4,4/5/2020,51,3
7,7,4/5/2020,89,8
8,8,4/5/2020,52,3
9,9,4/5/2020,1,1
11,11,4/5/2020,14,1
12,12,4/5/2020,25,1
13,13,4/5/2020,50,4
14,14,4/5/2020,100,3
15,15,4/5/2020,1639,51
16,16,4/5/2020,143,2
20,20,4/5/2020,29,1
22,22,4/5/2020,8,1
24,24,4/5/2020,26,3
2,2,4/6/2020,27,1
4,4,4/6/2020,60,4
7,7,4/6/2020,109,8
8,8,4/6/2020,54,3
9,9,4/6/2020,2,1
11,11,4/6/2020,18,1
12,12,4/6/2020,28,1
13,13,4/6/2020,56,5
14,14,4/6/2020,100,3
15,15,4/6/2020,1837,58
16,16,4/6/2020,171,2
