date,confirmed,deaths
7/5/2020,155958,4279
7/6/2020,157158,4325
7/7/2020,158761,4405
7/8/2020,159972,4473
7/9/2020,161220,4555
7/10/2020,162219,4655
7/11/2020,163294,4726
7/12/2020,164226,4804
7/13/2020,165611,4885
7/14/2020,167571,4958
7/15/2020,169017,5037
7/16/2020,170793,5130
7/17/2020,172788,5213
7/18/2020,174570,5206
7/19/2020,176221,5396
7/20/2020,177692,5497
7/21/2020,179560,5594
7/22/2020,181421,5688
7/23/2020,183475,7605
7/24/2020,185156,7687
7/27/2020,190422,7922
7/28/2020,192748,7983
7/29/2020,194179,8061
7/30/2020,196476,8134
8/1/2020,202207,8274
8/2/2020,204806,8357
8/3/2020,206559,8443
8/4/2020,209339,8516
8/5/2020,212212,8598
8/6/2020,215058,8679
8/7/2020,217966,8786
8/8/2020,220202,8854
8/9/2020,222840,8967
8/10/2020,224836,9040
8/11/2020,227270,9138
8/12/2020,230619,9216
8/13/2020,234183,10281
8/14/2020,237212,10340
8/15/2020,240535,10428
8/16/2020,244687,10494
8/17/2020,247019,10581
8/18/2020,250192,10656
8/19/2020,253792,10698
8/20/2020,256969,10760
8/21/2020,259925,10858
8/22/2020,262858,10933
8/23/2020,265854,11034
8/24/2020,267997,11103
8/25/2020,270543,11194
8/26/2020,272223,11245
8/27/2020,274966,11315
8/28/2020,277710,11395
8/29/2020,281062,11456
8/30/2020,283503,11544
8/31/2020,285298,11612
9/1/2020,287326,11681
9/3/2020,291749,11859
9/4/2020,294220,11921
9/5/2020,296755,11989
9/6/2020,298914,12054
9/7/2020,299619,12107
9/8/2020,301654,12173
9/9/2020,303661,12231
9/10/2020,306081,12279
9/11/2020,308159,12341
9/12/2020,310832,12396
9/13/2020,313114,12443
9/14/2020,314782,12500
9/15/2020,316336,12544
9/16/2020,317993,12601
9/17/2020,319718,12633
9/18/2020,322140,12703
9/19/2020,324418,12733
9/20/2020,326493,12733
9/22/2020,329283,12733
9/23/2020,331271,12965
9/24/2020,333291,12996
9/25/2020,335296,13035
9/26/2020,337187,13087
9/27/2020,338853,13143
9/28/2020,340079,13168
9/29/2020,341363,13193
9/30/2020,342586,13224
10/1/2020,344116,13256
10/2/2020,345336,13289
10/4/2020,348414,13350
10/5/2020,349286,13393
10/6/2020,350544,13424
10/7/2020,351743,13468
10/8/2020,352903,13505
10/9/2020,354570,13524
10/10/2020,355838,13554
10/11/2020,357210,13591
10/12/2020,357820,13614
10/13/2020,358786,13644
10/14/2020,359990,13683
10/15/2020,361004,13699
10/16/2020,361982,13726
10/17/2020,363178,13754
10/18/2020,364277,13769
10/19/2020,365176,13801
10/20/2020,366538,13827
10/21/2020,367549,13850
10/22/2020,368889,13867
10/23/2020,370086,13890
10/24/2020,371064,13911
10/25/2020,371892,13923
10/26/2020,372748,13942
10/27/2020,373531,13966
10/28/2020,374431,13987
10/29/2020,375492,14006
10/30/2020,376218,14026
10/31/2020,376949,14052
11/4/2020,380278,14124
11/5/2020,381420,14151
