date,confirmed,deaths
4/15/2020,20,1
4/16/2020,22,1
4/17/2020,38,2
4/18/2020,52,2
4/19/2020,61,2
4/20/2020,62,2
4/21/2020,73,2
4/22/2020,78,2
4/23/2020,90,2
4/24/2020,92,2
4/25/2020,105,2
4/26/2020,128,2
4/27/2020,141,2
4/28/2020,156,3
4/29/2020,162,3
4/30/2020,170,3
5/1/2020,201,3
5/2/2020,224,3
5/3/2020,259,3
5/5/2020,322,3
5/6/2020,301,3
5/7/2020,316,3
5/8/2020,328,3
5/9/2020,351,3
5/10/2020,362,3
5/11/2020,367,3
5/12/2020,375,3
5/13/2020,393,3
5/14/2020,406,3
5/15/2020,411,3
5/16/2020,424,3
5/17/2020,429,3
5/18/2020,435,3
5/19/2020,446,3
5/20/2020,451,3
5/21/2020,483,3
5/22/2020,495,3
5/23/2020,520,3
5/24/2020,557,3
5/25/2020,591,3
5/26/2020,625,3
5/27/2020,645,3
5/28/2020,669,3
5/29/2020,700,4
5/30/2020,720,5
5/31/2020,747,5
6/1/2020,786,6
6/2/2020,830,7
6/3/2020,853,7
6/4/2020,882,8
6/5/2020,875,9
6/6/2020,907,9
6/7/2020,935,10
6/8/2020,947,11
6/9/2020,984,11
6/10/2020,1013,13
6/11/2020,1062,13
6/12/2020,1135,14
6/13/2020,1199,16
6/14/2020,1279,16
6/15/2020,1314,16
6/16/2020,1350,17
6/17/2020,1378,18
6/18/2020,1422,18
6/19/2020,1474,19
6/20/2020,1518,20
6/21/2020,1568,22
6/22/2020,1597,22
6/23/2020,1631,24
6/24/2020,1678,24
6/25/2020,1774,43
6/26/2020,1816,59
6/27/2020,1929,62
6/28/2020,1983,65
6/29/2020,2091,67
6/30/2020,2138,68
7/1/2020,2196,71
7/2/2020,2292,74
7/3/2020,2404,81
7/4/2020,2470,84
7/5/2020,2587,87
7/6/2020,2731,105
7/7/2020,2850,110
7/8/2020,3012,114
7/9/2020,3110,119
7/10/2020,3216,121
7/11/2020,3327,125
7/12/2020,3494,129
7/13/2020,3650,131
7/14/2020,3750,131
7/15/2020,3857,134
7/16/2020,3928,135
7/17/2020,4019,140
7/18/2020,4109,142
7/19/2020,4205,144
7/20/2020,4301,148
7/21/2020,4458,150
7/22/2020,4570,151
7/23/2020,4663,176
7/24/2020,4785,179
7/27/2020,5140,196
7/28/2020,5307,199
7/29/2020,5560,201
7/30/2020,5877,203
8/1/2020,6463,207
8/2/2020,6649,212
8/3/2020,6793,215
8/4/2020,6992,221
8/5/2020,7277,228
8/6/2020,7578,229
8/7/2020,7974,239
8/8/2020,8240,243
8/9/2020,8422,247
8/10/2020,8616,250
8/11/2020,8901,258
8/12/2020,9377,261
8/13/2020,9809,342
8/14/2020,10123,344
8/15/2020,10534,349
8/16/2020,10795,350
8/17/2020,10969,353
8/18/2020,11281,356
8/19/2020,11609,358
8/20/2020,12042,362
8/21/2020,12326,363
8/22/2020,12593,366
8/23/2020,13004,369
8/24/2020,13452,373
8/25/2020,13654,375
8/26/2020,13860,377
8/27/2020,14256,379
8/28/2020,14524,380
8/29/2020,14864,383
8/30/2020,15040,385
8/31/2020,15189,388
9/1/2020,15370,388
9/3/2020,15812,397
9/4/2020,16081,397
9/5/2020,16325,400
9/6/2020,16475,403
9/7/2020,16564,407
9/8/2020,16717,408
9/9/2020,16898,412
9/10/2020,17054,416
9/11/2020,17270,417
9/12/2020,17367,417
9/13/2020,17529,423
9/14/2020,17643,426
9/15/2020,17747,426
9/16/2020,18039,437
9/17/2020,18249,439
9/18/2020,18433,441
9/19/2020,18579,441
9/20/2020,18709,441
9/22/2020,18927,449
9/23/2020,19079,450
9/24/2020,19209,452
9/25/2020,19359,457
9/26/2020,19484,460
9/27/2020,19576,465
9/28/2020,19652,468
9/29/2020,19751,470
9/30/2020,19899,471
10/1/2020,20017,472
10/2/2020,20086,473
10/4/2020,20253,476
10/5/2020,20301,478
10/6/2020,20367,484
10/7/2020,20471,484
10/8/2020,20533,487
10/9/2020,20638,489
10/10/2020,20704,489
10/11/2020,20787,491
10/12/2020,20833,491
10/13/2020,20917,493
10/14/2020,20992,494
10/15/2020,21066,495
10/16/2020,21143,495
10/17/2020,21231,495
10/18/2020,21315,497
10/19/2020,21384,498
10/20/2020,21465,504
10/21/2020,21529,504
10/22/2020,21599,506
10/23/2020,21715,506
10/24/2020,21824,508
10/25/2020,21875,512
10/26/2020,21926,513
10/27/2020,21971,513
10/28/2020,22026,513
10/29/2020,22069,515
10/30/2020,22164,517
10/31/2020,22222,518
11/1/2020,22263,520
11/2/2020,22282,521
11/3/2020,22329,524
11/4/2020,22416,524
11/5/2020,22505,526
11/6/2020,22580,528
11/7/2020,22675,531
11/8/2020,22712,533
11/9/2020,22749,535
11/10/2020,22797,537
11/11/2020,22857,540
11/12/2020,22917,540
11/13/2020,22973,543
11/14/2020,23031,546
11/15/2020,23091,548
11/16/2020,23114,548
11/17/2020,23212,548
11/18/2020,23278,550
11/19/2020,23349,550
11/20/2020,23413,551
11/21/2020,23472,553
11/22/2020,23511,553
11/23/2020,23540,554
