date,confirmed,deaths
4/4/2020,9,1
4/5/2020,14,1
4/6/2020,18,1
4/7/2020,24,2
4/8/2020,28,3
4/9/2020,34,2
4/10/2020,37,2
4/11/2020,47,2
4/14/2020,76,2
4/15/2020,101,2
4/16/2020,106,2
4/17/2020,119,2
4/18/2020,124,6
4/19/2020,141,6
4/20/2020,145,6
4/21/2020,195,6
4/22/2020,213,6
4/23/2020,248,6
4/24/2020,258,6
4/25/2020,268,6
4/26/2020,284,6
4/27/2020,339,6
4/28/2020,353,28
4/29/2020,401,28
4/30/2020,550,28
5/1/2020,580,41
5/2/2020,584,41
5/3/2020,676,41
5/5/2020,698,41
5/6/2020,708,41
5/7/2020,860,41
5/8/2020,884,41
5/9/2020,930,41
5/10/2020,1003,41
5/11/2020,1019,58
5/12/2020,1132,82
5/13/2020,1232,82
5/14/2020,1269,95
5/15/2020,1346,95
5/16/2020,1412,95
5/17/2020,1477,95
5/18/2020,1540,102
5/19/2020,1669,102
5/20/2020,1769,124
5/21/2020,1905,124
5/22/2020,1941,137
5/23/2020,1863,151
5/24/2020,2153,169
5/25/2020,2119,199
5/26/2020,2363,199
5/27/2020,2476,219
5/28/2020,2662,222
5/29/2020,2691,228
5/30/2020,2789,239
5/31/2020,3334,244
6/1/2020,3450,252
6/2/2020,3536,258
6/3/2020,3851,261
6/4/2020,3919,272
6/5/2020,4020,277
6/6/2020,4187,281
6/7/2020,4330,290
6/8/2020,4375,292
6/9/2020,4530,298
6/10/2020,4713,306
6/11/2020,4893,317
6/12/2020,5101,328
6/13/2020,5345,335
6/14/2020,5456,346
6/15/2020,5534,353
6/16/2020,5653,356
6/17/2020,5745,372
6/18/2020,5865,383
6/19/2020,5968,391
6/20/2020,6048,398
6/21/2020,6176,409
6/22/2020,6253,425
6/23/2020,6397,430
6/24/2020,6585,433
6/25/2020,6723,442
6/26/2020,6851,449
6/27/2020,6981,456
6/28/2020,7121,464
6/29/2020,7407,470
6/30/2020,7588,476
7/1/2020,7727,486
7/2/2020,7850,497
7/3/2020,8072,502
7/4/2020,8195,513
7/5/2020,8314,527
7/6/2020,8507,536
7/7/2020,8704,547
7/8/2020,8783,561
7/9/2020,8997,568
7/10/2020,9140,580
7/11/2020,9205,594
7/12/2020,9294,609
7/13/2020,9386,621
7/14/2020,9587,631
7/15/2020,9674,644
7/16/2020,9739,652
7/17/2020,9795,662
7/18/2020,9945,673
7/19/2020,9980,678
7/20/2020,10060,687
7/21/2020,10223,696
7/22/2020,10313,704
7/23/2020,10437,764
7/24/2020,10572,774
7/27/2020,10927,788
7/28/2020,11092,798
7/29/2020,11541,804
7/30/2020,12213,813
8/1/2020,12711,856
8/2/2020,13088,866
8/3/2020,13349,877
8/4/2020,13615,918
8/5/2020,13894,929
8/6/2020,14149,941
8/7/2020,14406,951
8/8/2020,14653,976
8/9/2020,14797,983
8/10/2020,14906,989
8/11/2020,15246,1000
8/12/2020,15528,1006
8/13/2020,15857,1347
8/14/2020,16150,1348
8/15/2020,16467,1353
8/16/2020,16734,1358
8/17/2020,16887,1371
8/18/2020,17097,1383
8/19/2020,17348,1389
8/20/2020,17624,1391
8/21/2020,17829,1405
8/22/2020,18083,1411
8/23/2020,18288,1418
8/24/2020,18531,1421
8/25/2020,18833,1426
8/26/2020,19229,1429
8/27/2020,19628,1434
8/28/2020,19910,1441
8/29/2020,20337,1446
8/30/2020,20736,1451
8/31/2020,21013,1455
9/1/2020,21257,1457
9/3/2020,21757,1470
9/4/2020,22006,1481
9/5/2020,22343,1484
9/6/2020,22665,1486
9/7/2020,22698,1491
9/8/2020,22887,1497
9/9/2020,23219,1502
9/10/2020,23476,1503
9/11/2020,23771,1510
9/12/2020,23893,1510
9/13/2020,24172,1523
9/14/2020,24311,1525
9/15/2020,24492,1530
9/16/2020,24756,1535
9/17/2020,24953,1540
9/18/2020,25278,1546
9/19/2020,25619,1549
9/20/2020,25937,1549
9/22/2020,26185,1562
9/23/2020,26408,1566
9/24/2020,26650,1571
9/25/2020,26845,1579
9/26/2020,27045,1583
9/27/2020,27369,1589
9/28/2020,27494,1592
9/29/2020,27602,1596
9/30/2020,27707,1599
10/1/2020,27801,1600
10/2/2020,27867,1601
10/4/2020,28027,1609
10/5/2020,28043,1615
10/6/2020,28188,1619
10/7/2020,28256,1623
10/8/2020,28350,1625
10/9/2020,28465,1627
10/10/2020,28522,1632
10/11/2020,28578,1636
10/12/2020,28590,1637
10/13/2020,28650,1640
10/14/2020,28708,1641
10/15/2020,28819,1642
10/16/2020,28884,1645
10/17/2020,28930,1647
10/18/2020,28992,1647
10/19/2020,29105,1651
10/20/2020,29186,1652
10/21/2020,29234,1657
10/22/2020,29270,1660
10/23/2020,29299,1662
10/24/2020,29343,1663
10/25/2020,29419,1664
10/26/2020,29463,1665
10/27/2020,29499,1667
10/28/2020,29565,1671
10/29/2020,29597,1673
10/30/2020,29663,1676
10/31/2020,29728,1680
11/1/2020,29760,1682
11/2/2020,29860,1684
11/3/2020,29917,1685
11/4/2020,29980,1687
11/5/2020,30024,1688
11/6/2020,30124,1690
11/7/2020,30205,1690
11/8/2020,30251,1690
11/9/2020,30252,1691
11/10/2020,30314,1694
11/11/2020,30375,1695
11/12/2020,30432,1695
11/13/2020,30457,1695
11/14/2020,30472,1696
11/15/2020,30488,1697
11/16/2020,30513,1697
11/17/2020,30571,1698
11/18/2020,30620,1702
11/19/2020,30651,1704
11/20/2020,30666,1704
11/21/2020,30686,1705
11/22/2020,30718,1708
11/23/2020,30771,1710
11/24/2020,30811,1714
11/25/2020,30837,1716
11/26/2020,30858,1721
11/27/2020,30888,1723
11/28/2020,30928,1723
11/29/2020,30947,1725
11/30/2020,30961,1725
12/1/2020,30974,1728
12/2/2020,31010,1729
12/3/2020,31048,1731
12/4/2020,31091,1734
12/5/2020,31118,1734
12/6/2020,31149,1734
12/7/2020,31228,1735
12/8/2020,31264,1736
12/9/2020,31268,1737
12/10/2020,31311,1740
12/11/2020,31353,1740
12/12/2020,31380,1742
12/13/2020,31398,1744
12/14/2020,31409,1750
12/15/2020,31456,1750
12/16/2020,31518,1752
12/17/2020,31546,1759
12/18/2020,31609,1767
12/19/2020,31668,1769
12/20/2020,31696,1770
12/21/2020,31696,1774
12/22/2020,31779,1774
12/23/2020,31822,1776
12/24/2020,31863,1781
12/25/2020,31883,1783
12/26/2020,31893,1785
12/27/2020,31914,1787
12/28/2020,31948,1788
12/29/2020,31993,1790
12/30/2020,32045,1792
12/31/2020,32100,1793
1/1/2021,32121,1794
1/2/2021,32126,1799
1/3/2021,32167,1802
1/4/2021,32225,1804
1/5/2021,32242,1804
1/6/2021,32318,1807
1/7/2021,32366,1810
1/8/2021,32443,1814
1/9/2021,32498,1815
1/10/2021,32559,1816
1/11/2021,32598,1817
1/12/2021,32693,1820
1/13/2021,32775,1825
1/14/2021,32903,1834
1/15/2021,33203,1837
1/16/2021,33331,1838
1/17/2021,33484,1840
1/18/2021,33625,1841
1/19/2021,33757,1849
1/20/2021,33917,1856
1/21/2021,34050,1860
1/22/2021,34228,1867
1/23/2021,34399,1873
1/24/2021,34506,1878
1/25/2021,34591,1882
1/26/2021,34723,1891
1/27/2021,34916,1898
1/28/2021,35144,1919
1/29/2021,35398,1935
1/30/2021,35679,1944
1/31/2021,35834,1949
2/1/2021,35910,1953
2/2/2021,36227,1962
2/3/2021,36553,1972
2/4/2021,36801,1983
2/5/2021,37068,1996
2/6/2021,37301,2012
2/7/2021,37433,2019
2/8/2021,37522,2026
2/9/2021,37642,2034
2/10/2021,37784,2050
2/11/2021,38040,2059
2/12/2021,38317,2075
2/13/2021,38529,2089
2/14/2021,38728,2094
2/15/2021,38818,2100
2/16/2021,38998,2107
2/17/2021,39231,2127
2/18/2021,39478,2138
2/19/2021,39671,2149
2/20/2021,39801,2154
2/21/2021,39994,2166
2/22/2021,40072,2176
2/23/2021,40259,2190
2/24/2021,40481,2197
2/25/2021,40655,2210
2/26/2021,40802,2218
2/27/2021,40956,2235
2/28/2021,41062,2242
3/1/2021,41136,2254
3/2/2021,41285,2270
3/3/2021,41442,2277
3/4/2021,41524,2289
3/5/2021,41653,2297
3/6/2021,41727,2304
3/7/2021,41873,2311
3/8/2021,41933,2313
3/9/2021,42055,2319
3/10/2021,42193,2328
3/11/2021,42328,2330
3/12/2021,42434,2335
3/13/2021,42503,2339
3/14/2021,42581,2343
3/15/2021,42657,2348
3/16/2021,42766,2352
3/17/2021,42951,2359
3/18/2021,43069,2363
3/19/2021,43242,2368
3/20/2021,43376,2377
3/21/2021,43453,2381
3/22/2021,43526,2384
3/23/2021,43655,2388
3/24/2021,43767,2390
3/25/2021,43910,2398
3/26/2021,44071,2405
3/27/2021,44188,2415
3/28/2021,44305,2421
3/29/2021,44370,2429
3/30/2021,44464,2434
3/31/2021,44612,2441
4/1/2021,44720,2446
4/2/2021,44787,2449
4/3/2021,44893,2457
4/4/2021,44951,2462
4/5/2021,45034,2468
4/6/2021,45136,2475
4/7/2021,45306,2480
4/8/2021,45464,2484
4/9/2021,45639,2496
4/10/2021,45840,2509
4/11/2021,45948,2515
4/12/2021,46057,2521
4/13/2021,46211,2529
4/14/2021,46348,2538
4/15/2021,46562,2547
4/16/2021,46764,2557
4/17/2021,46864,2576
4/18/2021,46948,2590
4/19/2021,46988,2596
4/20/2021,47117,2609
4/21/2021,47248,2620
4/22/2021,47416,2639
4/23/2021,47604,2656
4/24/2021,47769,2684
4/25/2021,47902,2698
4/26/2021,47949,2711
4/27/2021,48139,2732
4/28/2021,48338,2747
4/29/2021,48490,2761
4/30/2021,48732,2771
5/1/2021,48838,2785
5/2/2021,48921,2797
5/3/2021,48963,2810
5/4/2021,49072,2827
5/5/2021,49232,2825
5/6/2021,49375,2841
5/7/2021,49537,2853
5/8/2021,49658,2867
5/9/2021,49750,2879
5/10/2021,49809,2892
5/11/2021,49956,2908
